Date,Category,BasePrice,Discount,Rating,CompetitorPrice,EffectivePrice,SalesVolume,DayOfWeek,Month,IsWeekend,PriceDiffvsCompetitor,PriceRatio
2024-02-21,Sports,2852.3404705489106,10,3.1420789364176467,148.72342290073013,2567.1064234940195,5,2,2,0,-2418.3830005932896,17.26094231442959
2024-04-02,Apparel,80.86745381663816,30,3.640318022366583,229.30020064168792,56.60721767164671,237,1,4,0,172.69298297004121,0.24686946419250203
2024-01-15,Beauty,2947.8259976842755,5,2.575050564293341,43.18318125268996,2800.4346978000617,5,0,1,0,-2757.251516547372,64.85012489962438
2024-03-12,Beauty,272.1044351050858,20,3.493068823915581,131.82718215919212,217.68354808406866,122,1,3,0,-85.85636592487654,1.65127968692525
2024-03-01,Electronics,2445.9445361172525,5,3.9283000385827567,305.05622375935764,2323.6473093113896,5,4,3,0,-2018.591085552032,7.61711162839408
2024-01-21,Sports,851.7992363659663,50,4.882811531269913,253.49578539575876,425.89961818298315,62,6,1,1,-172.4038327872244,1.6801053221380653
2024-03-23,Beauty,409.5562783953072,10,3.791840112350161,62.18253669824395,368.60065055577644,44,5,3,1,-306.4181138575325,5.92771974460453
2024-03-27,Electronics,1327.9690845457972,15,4.54776831544422,96.94039459579025,1128.7737218639274,5,2,3,0,-1031.8333272681373,11.643997598426793
2024-03-15,Beauty,1937.2103896511264,30,3.8678191064222514,112.29566361262651,1356.0472727557885,5,4,3,0,-1243.751609143162,12.075686888797323
2024-03-15,Sports,1152.141257395073,50,2.6019625335887953,206.85784034615648,576.0706286975364,5,4,3,0,-369.21278835137997,2.784862433705864
2024-03-28,Home & Kitchen,177.87774372385638,0,3.287520687974435,238.31345404944838,177.87774372385638,135,3,3,0,60.435710325592,0.74640244057286
2024-04-09,Sports,1804.391501881269,10,3.938873769577758,236.11034959833339,1623.9523516931422,5,1,4,0,-1387.8420020948088,6.877938025401175
2024-01-24,Apparel,2708.6737791903643,20,4.876484914827811,165.41284661038884,2166.9390233522913,5,2,1,0,-2001.5261767419024,13.100185794252546
2024-01-03,Beauty,1158.8978673525462,10,4.647825899378083,254.19205866225462,1043.0080806172916,5,2,1,0,-788.8160219550371,4.103228425413313
2024-01-22,Beauty,660.7533412280187,20,3.070889035447119,143.93803441345514,528.602672982415,5,0,1,0,-384.66463856895984,3.6724322041527193
2024-02-22,Apparel,1336.093377609454,20,3.0502745750479088,51.54476676219076,1068.8747020875633,5,3,2,0,-1017.3299353253725,20.736822944974634
2024-01-02,Apparel,159.3626924806109,30,3.002932417784752,181.51034328787492,111.55388473642762,176,1,1,0,69.9564585514473,0.6145869305062327
2024-03-28,Home & Kitchen,2464.15543967362,20,4.806247240756258,295.9289084573265,1971.3243517388962,5,3,3,0,-1675.3954432815697,6.661479481728852
2024-01-30,Beauty,2481.6273206863075,5,4.631665382754301,248.93312716079083,2357.545954651992,5,1,1,0,-2108.612827491201,9.470599520204502
2024-02-07,Beauty,1770.1813833374408,50,4.4372085806323724,185.7166910692115,885.0906916687204,5,2,2,0,-699.3740005995089,4.765811228775724
2024-01-02,Home & Kitchen,1069.0121234810927,15,3.481837785560569,205.80766980298358,908.6603049589287,5,1,1,0,-702.8526351559451,4.415094470622862
